Construct_Name,Description,Source,Metadata_Value
Interpersonal communication,Academic construct from OpenAlex literature.,OpenAlex,199
Organizational change,Academic construct from OpenAlex literature.,OpenAlex,183
Employee motivation,Academic construct from OpenAlex literature.,OpenAlex,181
Psychological contract,Academic construct from OpenAlex literature.,OpenAlex,177
Psychological safety,Academic construct from OpenAlex literature.,OpenAlex,175
Proactivity,Academic construct from OpenAlex literature.,OpenAlex,171
Psychosocial,Academic construct from OpenAlex literature.,OpenAlex,170
Career development,Academic construct from OpenAlex literature.,OpenAlex,169
Leadership style,Academic construct from OpenAlex literature.,OpenAlex,166
Workforce,Academic construct from OpenAlex literature.,OpenAlex,163
Productivity,Academic construct from OpenAlex literature.,OpenAlex,163
Supervisor,Academic construct from OpenAlex literature.,OpenAlex,162
Work motivation,Academic construct from OpenAlex literature.,OpenAlex,156
Work environment,Academic construct from OpenAlex literature.,OpenAlex,153
Social support,Academic construct from OpenAlex literature.,OpenAlex,147
Affective events theory,Academic construct from OpenAlex literature.,OpenAlex,146
Situational ethics,Academic construct from OpenAlex literature.,OpenAlex,142
Work behavior,Academic construct from OpenAlex literature.,OpenAlex,140
Population,Academic construct from OpenAlex literature.,OpenAlex,140
Personnel selection,Academic construct from OpenAlex literature.,OpenAlex,135
Transformational leadership,Academic construct from OpenAlex literature.,OpenAlex,129
Turnover,Academic construct from OpenAlex literature.,OpenAlex,126
Organizational structure,Academic construct from OpenAlex literature.,OpenAlex,126
Emotional exhaustion,Academic construct from OpenAlex literature.,OpenAlex,125
Teamwork,Academic construct from OpenAlex literature.,OpenAlex,124
Well-being,Academic construct from OpenAlex literature.,OpenAlex,124
Organizational identification,Academic construct from OpenAlex literature.,OpenAlex,122
Psychological resilience,Academic construct from OpenAlex literature.,OpenAlex,122
Economic Justice,Academic construct from OpenAlex literature.,OpenAlex,119
Leadership studies,Academic construct from OpenAlex literature.,OpenAlex,119
Organizational effectiveness,Academic construct from OpenAlex literature.,OpenAlex,110
Workload,Academic construct from OpenAlex literature.,OpenAlex,110
Nomological network,Academic construct from OpenAlex literature.,OpenAlex,109
Interpersonal relationship,Academic construct from OpenAlex literature.,OpenAlex,109
Conscientiousness,Academic construct from OpenAlex literature.,OpenAlex,107
PsycINFO,Academic construct from OpenAlex literature.,OpenAlex,106
Coaching,Academic construct from OpenAlex literature.,OpenAlex,103
Extraversion and introversion,Academic construct from OpenAlex literature.,OpenAlex,102
Feeling,Academic construct from OpenAlex literature.,OpenAlex,101
Team effectiveness,Academic construct from OpenAlex literature.,OpenAlex,100
Contextual performance,Academic construct from OpenAlex literature.,OpenAlex,98
Social identity theory,Academic construct from OpenAlex literature.,OpenAlex,96
Moderated mediation,Academic construct from OpenAlex literature.,OpenAlex,96
Occupational burnout,Academic construct from OpenAlex literature.,OpenAlex,96
Performance appraisal,Academic construct from OpenAlex literature.,OpenAlex,94
Emotional intelligence,Academic construct from OpenAlex literature.,OpenAlex,93
Phenomenon,Academic construct from OpenAlex literature.,OpenAlex,93
Conceptualization,Academic construct from OpenAlex literature.,OpenAlex,92
Cultural diversity,Academic construct from OpenAlex literature.,OpenAlex,89
Anxiety,Academic construct from OpenAlex literature.,OpenAlex,89
Multiculturalism,Academic construct from OpenAlex literature.,OpenAlex,87
Qualitative property,Academic construct from OpenAlex literature.,OpenAlex,87
Job stress,Academic construct from OpenAlex literature.,OpenAlex,87
Job characteristic theory,Academic construct from OpenAlex literature.,OpenAlex,87
Attribution,Academic construct from OpenAlex literature.,OpenAlex,86
Citation,Academic construct from OpenAlex literature.,OpenAlex,85
Scopus,Academic construct from OpenAlex literature.,OpenAlex,85
Ethnic group,Academic construct from OpenAlex literature.,OpenAlex,82
